"","Date","visitor_count","is_schyr","quarter","year","school_year"
"519",2010-12-01,4996,1,4,2010,2010
"520",2010-12-02,4961,1,4,2010,2010
"521",2010-12-03,4357,1,4,2010,2010
"522",2010-12-04,2738,1,4,2010,2010
"523",2010-12-05,4391,1,4,2010,2010
"524",2010-12-06,5960,1,4,2010,2010
"525",2010-12-07,5433,1,4,2010,2010
"526",2010-12-08,4910,1,4,2010,2010
"527",2010-12-09,4179,1,4,2010,2010
"528",2010-12-10,2463,1,4,2010,2010
"529",2010-12-11,643,1,4,2010,2010
"530",2010-12-12,345,1,4,2010,2010
"531",2010-12-13,1428,1,4,2010,2010
"532",2010-12-14,1451,1,4,2010,2010
"533",2010-12-15,1357,1,4,2010,2010
"534",2010-12-16,1356,1,4,2010,2010
"535",2010-12-17,1019,1,4,2010,2010
"536",2010-12-18,313,1,4,2010,2010
"537",2010-12-19,191,1,4,2010,2010
"538",2010-12-20,1039,1,4,2010,2010
"539",2010-12-21,951,1,4,2010,2010
"540",2010-12-22,902,1,4,2010,2010
"541",2010-12-23,709,1,4,2010,2010
"542",2010-12-24,10,1,4,2010,2010
"543",2010-12-25,2,1,4,2010,2010
"544",2010-12-26,5,1,4,2010,2010
"545",2010-12-27,688,1,4,2010,2010
"546",2010-12-28,771,1,4,2010,2010
"547",2010-12-29,812,1,4,2010,2010
"548",2010-12-30,843,1,4,2010,2010
"549",2010-12-31,12,1,4,2010,2010
"550",2011-01-01,4,1,1,2011,2010
"551",2011-01-02,501,1,1,2011,2010
"552",2011-01-03,3945,1,1,2011,2010
"553",2011-01-04,4335,1,1,2011,2010
"554",2011-01-05,4241,1,1,2011,2010
"555",2011-01-06,4122,1,1,2011,2010
"556",2011-01-07,3018,1,1,2011,2010
"557",2011-01-08,1338,1,1,2011,2010
"558",2011-01-09,2647,1,1,2011,2010
"559",2011-01-10,4950,1,1,2011,2010
"560",2011-01-11,4471,1,1,2011,2010
"561",2011-01-12,4719,1,1,2011,2010
"562",2011-01-13,4090,1,1,2011,2010
"563",2011-01-14,2921,1,1,2011,2010
"564",2011-01-15,1249,1,1,2011,2010
"565",2011-01-16,1937,1,1,2011,2010
"566",2011-01-17,3484,1,1,2011,2010
"567",2011-01-18,5021,1,1,2011,2010
"568",2011-01-19,4960,1,1,2011,2010
"569",2011-01-20,4325,1,1,2011,2010
"570",2011-01-21,3121,1,1,2011,2010
"571",2011-01-22,1763,1,1,2011,2010
"572",2011-01-23,2900,1,1,2011,2010
"573",2011-01-24,5195,1,1,2011,2010
"574",2011-01-25,5293,1,1,2011,2010
"575",2011-01-26,5041,1,1,2011,2010
"576",2011-01-27,4751,1,1,2011,2010
"577",2011-01-28,3270,1,1,2011,2010
"578",2011-01-29,1777,1,1,2011,2010
"579",2011-01-30,3180,1,1,2011,2010
"580",2011-01-31,5052,1,1,2011,2010
"581",2011-02-01,3919,1,1,2011,2010
"582",2011-02-02,544,1,1,2011,2010
"583",2011-02-03,1039,1,1,2011,2010
"584",2011-02-04,3457,1,1,2011,2010
"585",2011-02-05,1922,1,1,2011,2010
"586",2011-02-06,2773,1,1,2011,2010
"587",2011-02-07,5290,1,1,2011,2010
"588",2011-02-08,5027,1,1,2011,2010
"589",2011-02-09,4697,1,1,2011,2010
"590",2011-02-10,3896,1,1,2011,2010
"591",2011-02-11,2632,1,1,2011,2010
"592",2011-02-12,1759,1,1,2011,2010
"593",2011-02-13,3099,1,1,2011,2010
"594",2011-02-14,5125,1,1,2011,2010
"595",2011-02-15,5154,1,1,2011,2010
"596",2011-02-16,5111,1,1,2011,2010
"597",2011-02-17,4778,1,1,2011,2010
"598",2011-02-18,3330,1,1,2011,2010
"599",2011-02-19,1850,1,1,2011,2010
"600",2011-02-20,3097,1,1,2011,2010
"601",2011-02-21,5223,1,1,2011,2010
"602",2011-02-22,5082,1,1,2011,2010
